DateTime,Consumption,Month,Year,Week
2016-04-16,8933.708333333334,4.0,2016.0,15.0
2016-04-17,8557.208333333334,4.0,2016.0,15.0
2016-04-18,9302.416666666666,4.0,2016.0,16.0
2016-04-19,9434.791666666666,4.0,2016.0,16.0
2016-04-20,9500.625,4.0,2016.0,16.0
2016-04-21,9597.041666666666,4.0,2016.0,16.0
2016-04-22,9722.083333333334,4.0,2016.0,16.0
2016-04-23,9106.666666666666,4.0,2016.0,16.0
2016-04-24,8880.541666666666,4.0,2016.0,16.0
2016-04-25,9540.291666666666,4.0,2016.0,17.0
2016-04-26,9671.875,4.0,2016.0,17.0
2016-04-27,9388.041666666666,4.0,2016.0,17.0
2016-04-28,9403.833333333334,4.0,2016.0,17.0
2016-04-29,9238.375,4.0,2016.0,17.0
2016-04-30,8530.333333333334,4.0,2016.0,17.0
2016-05-01,8045.75,5.0,2016.0,17.0
2016-05-02,8803.041666666666,5.0,2016.0,18.0
2016-05-03,8534.958333333334,5.0,2016.0,18.0
2016-05-04,8695.583333333334,5.0,2016.0,18.0
2016-05-05,8097.458333333333,5.0,2016.0,18.0
2016-05-06,8256.041666666666,5.0,2016.0,18.0
2016-05-07,7858.375,5.0,2016.0,18.0
2016-05-08,7508.041666666667,5.0,2016.0,18.0
2016-05-09,8167.041666666667,5.0,2016.0,19.0
2016-05-10,8061.681818181818,5.0,2016.0,19.0
2016-05-11,8037.791666666667,5.0,2016.0,19.0
2016-05-12,8335.875,5.0,2016.0,19.0
2016-05-13,8489.625,5.0,2016.0,19.0
2016-05-14,7989.125,5.0,2016.0,19.0
2016-05-15,7768.166666666667,5.0,2016.0,19.0
2016-05-16,8516.5,5.0,2016.0,20.0
2016-05-17,8462.958333333334,5.0,2016.0,20.0
2016-05-18,8599.583333333334,5.0,2016.0,20.0
2016-05-19,8567.625,5.0,2016.0,20.0
2016-05-20,8558.75,5.0,2016.0,20.0
2016-05-21,7750.208333333333,5.0,2016.0,20.0
2016-05-22,7432.791666666667,5.0,2016.0,20.0
2016-05-23,8093.166666666667,5.0,2016.0,21.0
2016-05-24,8034.333333333333,5.0,2016.0,21.0
2016-05-25,7966.291666666667,5.0,2016.0,21.0
2016-05-26,8118.791666666667,5.0,2016.0,21.0
2016-05-27,8305.75,5.0,2016.0,21.0
2016-05-28,7663.0,5.0,2016.0,21.0
2016-05-29,7422.625,5.0,2016.0,21.0
2016-05-30,8345.125,5.0,2016.0,22.0
2016-05-31,8303.791666666666,5.0,2016.0,22.0
2016-06-01,8344.375,6.0,2016.0,22.0
2016-06-02,8405.375,6.0,2016.0,22.0
2016-06-03,8384.75,6.0,2016.0,22.0
2016-06-04,7553.833333333333,6.0,2016.0,22.0
2016-06-05,7523.208333333333,6.0,2016.0,22.0
2016-06-06,8519.083333333334,6.0,2016.0,23.0
2016-06-07,8410.375,6.0,2016.0,23.0
2016-06-08,8408.541666666666,6.0,2016.0,23.0
2016-06-09,8561.458333333334,6.0,2016.0,23.0
2016-06-10,8671.791666666666,6.0,2016.0,23.0
2016-06-11,7987.333333333333,6.0,2016.0,23.0
2016-06-12,7780.416666666667,6.0,2016.0,23.0
2016-06-13,8524.25,6.0,2016.0,24.0
2016-06-14,8462.958333333334,6.0,2016.0,24.0
2016-06-15,8321.291666666666,6.0,2016.0,24.0
