日期,负荷,负荷_interp,负荷_filled,负荷_diff1,负荷_diff2
37561,1687.979,1687.979,1687.979,,
37562,1653.573,1653.573,1653.573,-34.40599999999995,
37563,1634.035,1634.035,1634.035,-19.53800000000001,-53.94399999999996
37564,1715.912,1715.912,1715.912,81.87699999999995,62.33899999999994
37565,1732.314,1732.314,1732.314,16.402000000000044,98.279
37566,1717.768,1717.768,1717.768,-14.54600000000005,1.8559999999999945
37567,1697.009,1697.009,1697.009,-20.759000000000015,-35.305000000000064
37568,1733.018,1733.018,1733.018,36.009000000000015,15.25
37569,1696.422,1696.422,1696.422,-36.596000000000004,-0.5869999999999891
37570,1646.448,1646.448,1646.448,-49.97399999999993,-86.56999999999994
37571,1704.952,1704.952,1704.952,58.503999999999905,8.529999999999973
37572,1702.916,1702.916,1702.916,-2.036000000000058,56.46799999999985
37573,1711.952,1711.952,1711.952,9.036000000000058,7.0
37574,1747.226,1747.226,1747.226,35.274000000000115,44.31000000000017
37575,1763.452,1763.452,1763.452,16.225999999999885,51.5
37576,1691.221,1691.221,1691.221,-72.231,-56.00500000000011
37577,1696.741,1696.741,1696.741,5.519999999999982,-66.71100000000001
37578,1793.252,1793.252,1793.252,96.51099999999997,102.03099999999995
37579,1810.376,1810.376,1810.376,17.124000000000024,113.63499999999999
37580,1839.362,1839.362,1839.362,28.986000000000104,46.11000000000013
37581,1837.824,1837.824,1837.824,-1.538000000000011,27.448000000000093
37582,1832.501,1832.501,1832.501,-5.323000000000093,-6.861000000000104
37583,1772.466,1772.466,1772.466,-60.03500000000008,-65.35800000000017
37584,1746.626,1746.626,1746.626,-25.839999999999918,-85.875
37585,1846.997,1846.997,1846.997,100.3710000000001,74.53100000000018
37586,1838.84,1838.84,1838.84,-8.157000000000153,92.21399999999994
37587,1851.848,1851.848,1851.848,13.008000000000038,4.850999999999885
37588,1824.932,1824.932,1824.932,-26.91599999999994,-13.907999999999902
37589,1804.637,1804.637,1804.637,-20.295000000000073,-47.21100000000001
37590,1763.663,1763.663,1763.663,-40.97399999999993,-61.269000000000005
37591,1781.514,1781.514,1781.514,17.850999999999885,-23.123000000000047
37592,,1784.5459999999998,1784.5459999999998,3.0319999999999254,20.88299999999981
37593,1787.578,1787.578,1787.578,3.032000000000153,6.064000000000078
37594,1827.612,1827.612,1827.612,40.034000000000106,43.06600000000026
37595,1834.83,1834.83,1834.83,7.217999999999847,47.25199999999995
37596,1926.958,1926.958,1926.958,92.12800000000016,99.346
37597,1828.535,1828.535,1828.535,-98.423,-6.294999999999845
37598,1826.469,1826.469,1826.469,-2.066000000000031,-100.48900000000003
37599,1994.044,1994.044,1994.044,167.57500000000005,165.50900000000001
37600,2004.024,2004.024,2004.024,9.97999999999979,177.55499999999984
37601,1991.519,1991.519,1991.519,-12.504999999999882,-2.525000000000091
37602,1962.95,1962.95,1962.95,-28.56899999999996,-41.07399999999984
37603,1954.016,1954.016,1954.016,-8.933999999999969,-37.50299999999993
37604,1847.547,1847.547,1847.547,-106.46900000000005,-115.40300000000002
